Frame	Occidentary	Time	Encounter Slot	PID	!!!	Nature	Ability	HP	Atk	Def	SpA	SpD	Spe	Hidden	Power	50% F	12.5%F	25% F	75% F	
120043	120058	33:20.71	3	7DA2D7B0		Careful	0	15	15	25	16	23	20	Water	52	M	M	M	F	
120044	120061	33:20.73	0	82BCDE14		Hardy	0	14	23	21	31	21	21	Dragon	42	F	F	F	F	
120045	120050	33:20.75	1	BA59C2B0		Calm	0	29	16	23	13	6	24	Bug	52	M	M	M	F	
120046	120235	33:20.76	1	2AAE310A		Modest	0	23	13	25	18	11	23	Electric	66	F	F	F	F	
120047	120062	33:20.78	3	56EE82BC		Serious	0	21	31	21	13	10	6	Bug	56	M	M	M	F	
120048	120235	33:20.80	0	2AAE310A		Modest	0	23	13	25	18	11	23	Electric	66	F	F	F	F	
120049	120088	33:20.81	0	4FCDF6EB		Bold	1	16	11	25	13	30	18	Bug	56	M	M	M	M	
120050	120067	33:20.83	1	FB80401C		Hasty	0	25	29	19	4	17	13	Electric	32	F	F	F	F	
120051	120070	33:20.85	0	E932448D		Brave	1	4	22	31	28	16	23	Poison	38	M	M	M	F	
120052	120067	33:20.86	1	FB80401C		Hasty	0	25	29	19	4	17	13	Electric	32	F	F	F	F	
120053	120116	33:20.88	1	FAF4BD5D		Hasty	1	18	19	7	23	9	26	Psychic	49	F	M	M	F	
120054	120085	33:20.90	0	BBD0AA58		Jolly	0	14	28	12	23	29	11	Ice	45	F	M	M	F	
120055	120064	33:20.91	2	29A6D7F5		Quiet	1	11	4	25	0	16	28	Flying	30	M	M	M	M	
120056	120065	33:20.93	0	648B29A6		Mild	0	28	0	16	28	30	0	Fighting	50	M	M	M	F	
120057	120062	33:20.95	0	56EE82BC		Serious	0	21	31	21	13	10	6	Bug	56	M	M	M	F	
120058	120085	33:20.96	0	BBD0AA58		Jolly	0	14	28	12	23	29	11	Ice	45	F	M	M	F	
120059	120070	33:20.98	1	E932448D		Brave	1	4	22	31	28	16	23	Poison	38	M	M	M	F	
120060	120121	33:21.00	1	CADE1913		Bashful	1	26	26	17	4	25	20	Fire	31	F	F	F	F	
120061	120124	33:21.01	1	4BF66494		Naughty	0	9	12	6	10	1	7	Water	47	M	M	M	F	
120062	120073	33:21.03	1	B2A94397		Timid	1	4	13	5	4	20	15	Ground	35	M	M	M	F	
120063	120300	33:21.05	1	601BCAC0		Serious	0	19	25	24	4	1	7	Grass	35	M	M	M	M	
120064	120421	33:21.06	2	941450AB		Naive	1	10	4	4	23	23	17	Ice	61	M	M	M	F	
120065	120300	33:21.08	1	601BCAC0		Serious	0	19	25	24	4	1	7	Grass	35	M	M	M	M	
120066	120075	33:21.10	0	D08F95A4		Lax	0	13	19	3	10	14	13	Ground	64	M	M	M	F	
120067	120150	33:21.11	0	B065E265		Lax	1	4	17	9	28	29	23	Grass	35	F	M	M	F	
120068	120167	33:21.13	2	A6138731		Quirky	1	10	6	28	17	16	22	Ground	36	F	M	F	F	
120069	120128	33:21.15	0	1547A02E		Careful	0	23	29	2	16	25	4	Fire	33	F	M	F	F	
120070	120077	33:21.16	1	394D0E6D		Brave	1	21	22	1	19	12	23	Ghost	46	F	M	M	F	
120071	120228	33:21.18	3	D7EE925E		Adamant	0	19	26	28	31	28	5	Bug	42	F	M	M	F	
120072	120087	33:21.20	1	F6EBB38E		Serious	0	13	30	19	11	25	16	Psychic	43	M	M	M	F	
120073	120082	33:21.21	0	8ADE9CC5		Impish	1	18	18	14	18	10	24	Fighting	64	M	M	M	M	
120074	120225	33:21.23	0	8137B69B		Mild	1	27	5	12	18	4	30	Fighting	45	M	M	M	F	
120075	120084	33:21.25	0	AA583A52		Bashful	0	16	30	14	28	12	14	Fighting	38	F	M	M	F	
120076	120093	33:21.26	2	B8014C85		Rash	1	22	4	20	9	22	19	Bug	56	M	M	M	F	
120077	120110	33:21.28	2	CF094976		Quiet	0	15	4	22	25	27	6	Electric	58	F	M	M	F	
120078	120093	33:21.30	1	B8014C85		Rash	1	22	4	20	9	22	19	Bug	56	M	M	M	F	
120079	120124	33:21.31	0	4BF66494		Naughty	0	9	12	6	10	1	7	Water	47	M	M	M	F	
120080	120095	33:21.33	0	5933D096		Impish	0	11	18	30	12	23	13	Water	54	M	M	M	F	
120081	120162	33:21.35	1	170F0971		Hardy	1	3	14	30	24	30	9	Poison	54	F	M	M	F	
120082	120103	33:21.36	0	E216C929		Bold	1	1	2	26	22	22	19	Poison	69	F	M	F	F	
120083	120094	33:21.38	1	D096B801		Impish	1	19	9	22	18	30	11	Poison	68	F	F	F	F	
120084	120103	33:21.40	0	E216C929		Bold	1	1	2	26	22	22	19	Poison	69	F	M	F	F	
120085	120106	33:21.41	0	99165AD3		Mild	1	13	1	6	26	9	13	Grass	42	M	M	M	M	
120086	120129	33:21.43	2	0BB71547		Hasty	1	4	16	25	1	13	30	Psychic	35	F	M	M	F	
120087	120124	33:21.45	1	4BF66494		Naughty	0	9	12	6	10	1	7	Water	47	M	M	M	F	
120088	120129	33:21.46	0	0BB71547		Hasty	1	4	16	25	1	13	30	Psychic	35	F	M	M	F	
120089	120124	33:21.48	0	4BF66494		Naughty	0	9	12	6	10	1	7	Water	47	M	M	M	F	
120090	120121	33:21.50	0	CADE1913		Bashful	1	26	26	17	4	25	20	Fire	31	F	F	F	F	
120091	120214	33:21.51	1	3C58ADDF		Naive	1	5	31	23	3	20	23	Steel	49	M	M	M	M	
120092	120103	33:21.53	0	E216C929		Bold	1	1	2	26	22	22	19	Poison	69	F	M	F	F	
120093	120128	33:21.55	2	1547A02E		Careful	0	23	29	2	16	25	4	Fire	33	F	M	F	F	
120094	120209	33:21.56	0	D7B38A7B		Timid	1	31	5	31	16	7	9	Electric	53	F	M	M	F	
120095	120162	33:21.58	3	170F0971		Hardy	1	3	14	30	24	30	9	Poison	54	F	M	M	F	
120096	120127	33:21.60	0	A02E0547		Quiet	1	7	10	5	29	2	23	Ghost	57	F	M	M	F	
120097	120144	33:21.61	1	8E3152F6		Quirky	0	19	29	5	23	27	2	Ice	66	M	M	M	M	
120098	120161	33:21.63	0	09715DA4		Lax	0	15	24	5	14	30	3	Ground	66	M	M	M	F	
120099	120190	33:21.65	1	8AE48504		Bashful	0	22	31	22	19	22	7	Ghost	70	F	F	F	F	
120100	120209	33:21.66	0	D7B38A7B		Timid	1	31	5	31	16	7	9	Electric	53	F	M	M	F	
120101	120166	33:21.68	0	873131FE		Sassy	0	19	16	9	6	28	10	Flying	45	M	M	M	M	
120102	120117	33:21.70	2	1E72FAF4		Adamant	0	26	23	9	2	21	11	Grass	47	M	M	M	M	
120103	120214	33:21.71	3	3C58ADDF		Naive	1	5	31	23	3	20	23	Steel	49	M	M	M	M	
120104	120113	33:21.73	1	FE4E6F26		Lonely	0	9	2	22	10	15	29	Water	64	F	M	F	F	
120105	120112	33:21.75	2	6F26588F		Modest	1	14	18	31	2	22	9	Poison	64	M	M	M	F	
120106	120421	33:21.76	1	941450AB		Naive	1	10	4	4	23	23	17	Ice	61	M	M	M	F	
120107	120116	33:21.78	2	FAF4BD5D		Hasty	1	18	19	7	23	9	26	Psychic	49	F	M	M	F	
120108	120229	33:21.80	2	7353D7EE		Docile	0	5	31	28	7	17	8	Psychic	41	M	M	M	M	
120109	120132	33:21.81	1	4F53343E		Lonely	0	11	12	5	17	30	27	Ghost	56	F	M	F	F	
120110	120177	33:21.83	0	6D5DF9A0		Gentle	0	17	23	23	20	21	16	Water	33	M	M	M	F	
120111	120124	33:21.85	0	4BF66494		Naughty	0	9	12	6	10	1	7	Water	47	M	M	M	F	
120112	120197	33:21.86	1	7B9EE20F		Brave	1	17	22	31	8	18	15	Ground	59	F	F	F	F	
120113	120132	33:21.88	1	4F53343E		Lonely	0	11	12	5	17	30	27	Ghost	56	F	M	F	F	
120114	120197	33:21.90	0	7B9EE20F		Brave	1	17	22	31	8	18	15	Ground	59	F	F	F	F	
120115	120148	33:21.91	0	2514D1E4		Rash	0	5	19	24	3	12	5	Ghost	41	M	M	M	M	
120116	120123	33:21.93	1	6494475A		Rash	0	22	31	18	12	6	9	Poison	54	F	M	M	F	
120117	120228	33:21.95	1	D7EE925E		Adamant	0	19	26	28	31	28	5	Bug	42	F	M	M	F	
120118	120133	33:21.96	2	158B4F53		Sassy	1	27	17	30	6	27	14	Fire	68	F	M	M	F	
120119	120148	33:21.98	1	2514D1E4		Rash	0	5	19	24	3	12	5	Ghost	41	M	M	M	M	
120120	120161	33:22.00	1	09715DA4		Lax	0	15	24	5	14	30	3	Ground	66	M	M	M	F	
120121	120126	33:22.01	0	05479989		Mild	1	14	1	8	10	5	7	Grass	45	M	M	M	F	
120122	120131	33:22.03	0	343EE604		Careful	0	19	26	19	12	5	11	Grass	39	F	F	F	F	
120123	120282	33:22.05	1	30621275		Gentle	1	3	24	19	5	3	9	Dragon	53	F	M	M	F	
120124	120137	33:22.06	1	8ADFB8A5		Bold	1	5	2	19	29	23	29	Dragon	54	M	M	M	F	
120125	120132	33:22.08	1	4F53343E		Lonely	0	11	12	5	17	30	27	Ghost	56	F	M	F	F	
120126	120229	33:22.10	0	7353D7EE		Docile	0	5	31	28	7	17	8	Psychic	41	M	M	M	M	
120127	120166	33:22.11	1	873131FE		Sassy	0	19	16	9	6	28	10	Flying	45	M	M	M	M	
120128	120167	33:22.13	0	A6138731		Quirky	1	10	6	28	17	16	22	Ground	36	F	M	F	F	
120129	120150	33:22.15	1	B065E265		Lax	1	4	17	9	28	29	23	Grass	35	F	M	M	F	
120130	120167	33:22.16	4	A6138731		Quirky	1	10	6	28	17	16	22	Ground	36	F	M	F	F	
120131	120416	33:22.18	2	D5B6D4C8		Relaxed	0	17	2	20	21	29	18	Electric	36	M	M	M	M	
120132	120235	33:22.20	1	2AAE310A		Modest	0	23	13	25	18	11	23	Electric	66	F	F	F	F	
120133	120182	33:22.21	0	1C976A92		Mild	0	0	13	3	11	14	0	Bug	63	M	M	M	F	
120134	120139	33:22.23	0	DFBD4C45		Sassy	1	16	15	5	10	1	23	Grass	46	F	M	M	F	
120135	120148	33:22.25	2	2514D1E4		Rash	0	5	19	24	3	12	5	Ghost	41	M	M	M	M	
120136	120207	33:22.26	0	0954A751		Lonely	1	27	19	2	29	21	19	Dragon	39	F	M	M	F	
120137	120162	33:22.28	1	170F0971		Hardy	1	3	14	30	24	30	9	Poison	54	F	M	M	F	
120138	120197	33:22.30	1	7B9EE20F		Brave	1	17	22	31	8	18	15	Ground	59	F	F	F	F	
120139	120150	33:22.31	0	B065E265		Lax	1	4	17	9	28	29	23	Grass	35	F	M	M	F	
120140	120209	33:22.33	1	D7B38A7B		Timid	1	31	5	31	16	7	9	Electric	53	F	M	M	F	
120141	120152	33:22.35	2	77972624		Naughty	0	3	11	23	31	28	2	Bug	49	F	M	F	F	
120142	120145	33:22.36	0	17B38E31		Jolly	1	2	23	27	15	20	4	Bug	44	F	M	F	F	
120143	120212	33:22.38	0	60039E09		Lonely	1	31	14	11	2	15	24	Fire	64	F	F	F	F	
120144	120153	33:22.40	0	5D637797		Quiet	1	2	31	28	27	9	28	Electric	42	M	M	M	F	
120145	120164	33:22.41	0	FB0979C3		Hasty	1	30	15	12	25	1	17	Ice	31	M	M	M	M	
120146	120175	33:22.43	1	E5D5817E		Relaxed	0	0	13	30	10	27	29	Grass	63	F	M	M	F	
120147	120234	33:22.45	2	310A6863		Quiet	1	14	21	10	13	25	23	Ice	38	F	M	M	F	
120148	120175	33:22.46	0	E5D5817E		Relaxed	0	0	13	30	10	27	29	Grass	63	F	M	M	F	
120149	120416	33:22.48	2	D5B6D4C8		Relaxed	0	17	2	20	21	29	18	Electric	36	M	M	M	M	
120150	120421	33:22.50	1	941450AB		Naive	1	10	4	4	23	23	17	Ice	61	M	M	M	F	
120151	120240	33:22.51	1	3DC9E99B		Modest	1	29	24	0	4	24	18	Fighting	35	M	M	M	F	
120152	120175	33:22.53	1	E5D5817E		Relaxed	0	0	13	30	10	27	29	Grass	63	F	M	M	F	
120153	120182	33:22.55	0	1C976A92		Mild	0	0	13	3	11	14	0	Bug	63	M	M	M	F	
120154	120159	33:22.56	0	970C0EC9		Impish	1	4	13	23	11	2	17	Steel	63	M	M	M	M	
120155	120182	33:22.58	1	1C976A92		Mild	0	0	13	3	11	14	0	Bug	63	M	M	M	F	
120156	120177	33:22.60	0	6D5DF9A0		Gentle	0	17	23	23	20	21	16	Water	33	M	M	M	F	
120157	120160	33:22.61	0	5DA4970C		Timid	0	17	11	2	24	5	15	Grass	38	F	F	F	F	
120158	120165	33:22.63	0	31FEFB09		Bashful	1	17	25	1	16	9	19	Electric	35	F	F	F	F	
120159	120166	33:22.65	2	873131FE		Sassy	0	19	16	9	6	28	10	Flying	45	M	M	M	M	
120160	120173	33:22.66	1	7AD84EDD		Quiet	1	30	11	0	14	25	21	Grass	42	M	M	M	M	
120161	120228	33:22.68	1	D7EE925E		Adamant	0	19	26	28	31	28	5	Bug	42	F	M	M	F	
120162	120177	33:22.70	0	6D5DF9A0		Gentle	0	17	23	23	20	21	16	Water	33	M	M	M	F	
120163	120240	33:22.71	0	3DC9E99B		Modest	1	29	24	0	4	24	18	Fighting	35	M	M	M	F	
120164	120185	33:22.73	1	4666B960		Careful	0	18	4	20	2	0	20	Fighting	40	F	M	M	F	
120165	120356	33:22.75	1	767F383F		Lax	1	30	8	27	18	12	17	Poison	43	F	M	M	F	
120166	120235	33:22.76	3	2AAE310A		Modest	0	23	13	25	18	11	23	Electric	66	F	F	F	F	
120167	120208	33:22.78	0	8A7B0954		Quirky	0	19	29	21	5	31	31	Dark	56	F	M	M	F	
120168	120213	33:22.80	0	ADDF6003		Hardy	1	24	2	15	31	23	5	Dragon	64	F	F	F	F	
120169	120178	33:22.81	1	DEF16D5D		Hardy	1	16	20	21	18	9	1	Grass	40	F	M	M	F	
120170	120197	33:22.83	1	7B9EE20F		Brave	1	17	22	31	8	18	15	Ground	59	F	F	F	F	
120171	120214	33:22.85	0	3C58ADDF		Naive	1	5	31	23	3	20	23	Steel	49	M	M	M	M	
120172	120185	33:22.86	1	4666B960		Careful	0	18	4	20	2	0	20	Fighting	40	F	M	M	F	
120173	120178	33:22.88	2	DEF16D5D		Hardy	1	16	20	21	18	9	1	Grass	40	F	M	M	F	
120174	120183	33:22.90	1	0DA01C97		Serious	1	0	11	14	19	17	6	Electric	49	M	M	M	F	
120175	120184	33:22.91	1	B9600DA0		Naughty	0	6	19	17	4	20	18	Flying	36	M	M	M	F	
120176	120297	33:22.93	0	58997B8F		Sassy	1	12	24	6	22	18	0	Fighting	63	M	M	M	F	
120177	120200	33:22.95	0	70B9C90F		Careful	1	31	1	21	23	16	23	Steel	45	F	F	F	F	
120178	120209	33:22.96	3	D7B38A7B		Timid	1	31	5	31	16	7	9	Electric	53	F	M	M	F	
120179	120190	33:22.98	1	8AE48504		Bashful	0	22	31	22	19	22	7	Ghost	70	F	F	F	F	
120180	120241	33:23.00	1	831D3DC9		Relaxed	1	18	4	24	23	27	22	Electric	66	M	M	M	M	
120181	120340	33:23.01	2	C777A90C		Rash	0	4	4	4	20	6	19	Flying	55	F	F	F	F	
120182	120203	33:23.03	2	2956C2F7		Jolly	1	28	20	10	31	18	0	Ground	63	M	M	M	M	
120183	120186	33:23.05	0	D0924666		Docile	0	20	2	0	31	26	18	Ground	66	F	M	M	F	
120184	120297	33:23.06	2	58997B8F		Sassy	1	12	24	6	22	18	0	Fighting	63	M	M	M	F	
120185	120340	33:23.08	1	C777A90C		Rash	0	4	4	4	20	6	19	Flying	55	F	F	F	F	
120186	120195	33:23.10	0	2A403334		Lax	0	15	16	24	28	30	30	Fighting	56	F	M	F	F	
120187	120222	33:23.11	2	9B6052C7		Brave	1	20	8	16	20	13	27	Water	35	M	M	M	M	
120188	120197	33:23.13	2	7B9EE20F		Brave	1	17	22	31	8	18	15	Ground	59	F	F	F	F	
120189	120404	33:23.15	0	EC7C726B		Docile	1	14	17	29	10	22	26	Flying	66	F	M	M	F	
120190	120261	33:23.16	1	2E06142D		Quiet	1	19	9	31	6	15	7	Electric	68	F	M	F	F	
120191	120198	33:23.18	1	7ED17B9E		Hasty	0	15	8	18	5	28	25	Bug	33	M	M	M	F	
120192	120213	33:23.20	1	ADDF6003		Hardy	1	24	2	15	31	23	5	Dragon	64	F	F	F	F	
120193	120220	33:23.21	0	BD8EEEC2		Impish	0	7	22	20	27	6	0	Rock	62	M	M	M	M	
120194	120225	33:23.23	0	8137B69B		Mild	1	27	5	12	18	4	30	Fighting	45	M	M	M	F	
120195	120282	33:23.25	0	30621275		Gentle	1	3	24	19	5	3	9	Dragon	53	F	M	M	F	
120196	120199	33:23.26	0	C90F7ED1		Gentle	1	25	5	28	1	21	31	Dragon	35	M	M	M	M	
120197	120240	33:23.28	1	3DC9E99B		Modest	1	29	24	0	4	24	18	Fighting	35	M	M	M	F	
120198	120277	33:23.30	1	257FF764		Gentle	0	7	13	27	11	7	13	Dark	63	F	M	M	F	
120199	120416	33:23.31	1	D5B6D4C8		Relaxed	0	17	2	20	21	29	18	Electric	36	M	M	M	M	
120200	120261	33:23.33	1	2E06142D		Quiet	1	19	9	31	6	15	7	Electric	68	F	M	F	F	
120201	120216	33:23.35	1	D0775FE5		Hasty	1	15	26	0	21	28	18	Rock	36	M	M	M	M	
120202	120241	33:23.36	1	831D3DC9		Relaxed	1	18	4	24	23	27	22	Electric	66	M	M	M	M	
120203	120220	33:23.38	0	BD8EEEC2		Impish	0	7	22	20	27	6	0	Rock	62	M	M	M	M	
120204	120261	33:23.40	2	2E06142D		Quiet	1	19	9	31	6	15	7	Electric	68	F	M	F	F	
120205	120220	33:23.41	0	BD8EEEC2		Impish	0	7	22	20	27	6	0	Rock	62	M	M	M	M	
120206	120227	33:23.43	2	925EB0BB		Jolly	1	14	31	21	26	28	19	Ground	47	M	M	M	F	
120207	120212	33:23.45	0	60039E09		Lonely	1	31	14	11	2	15	24	Fire	64	F	F	F	F	
120208	120247	33:23.46	2	A61CE470		Rash	0	3	23	20	12	25	7	Grass	36	F	M	M	F	
120209	120312	33:23.48	1	25DCB700		Timid	0	1	28	0	20	18	2	Fighting	55	F	F	F	F	
120210	120241	33:23.50	0	831D3DC9		Relaxed	1	18	4	24	23	27	22	Electric	66	M	M	M	M	
120211	120218	33:23.51	0	72B2034F		Naughty	1	2	22	27	12	15	14	Fire	59	F	M	M	F	
120212	120223	33:23.53	1	41149B60		Hasty	0	27	20	13	9	0	23	Ghost	35	F	M	M	F	
120213	120352	33:23.55	1	2A649EB2		Careful	0	7	11	8	18	31	12	Fire	62	M	M	M	F	
120214	120375	33:23.56	0	998A03D7		Quirky	1	12	20	12	28	14	20	Fighting	50	M	M	M	M	
120215	120234	33:23.58	1	310A6863		Quiet	1	14	21	10	13	25	23	Ice	38	F	M	M	F	
120216	120297	33:23.60	1	58997B8F		Sassy	1	12	24	6	22	18	0	Fighting	63	M	M	M	F	
120217	120300	33:23.61	1	601BCAC0		Serious	0	19	25	24	4	1	7	Grass	35	M	M	M	M	
120218	120297	33:23.63	1	58997B8F		Sassy	1	12	24	6	22	18	0	Fighting	63	M	M	M	F	
120219	120256	33:23.65	1	4146CC8E		Lonely	0	19	0	21	15	18	12	Bug	61	M	M	M	F	
120220	120225	33:23.66	0	8137B69B		Mild	1	27	5	12	18	4	30	Fighting	45	M	M	M	F	
120221	120256	33:23.68	0	4146CC8E		Lonely	0	19	0	21	15	18	12	Bug	61	M	M	M	F	
120222	120291	33:23.70	2	001D7D10		Timid	0	21	18	12	4	21	30	Steel	36	F	F	F	F	
120223	120244	33:23.71	1	97E16EF6		Sassy	0	23	25	13	3	25	16	Ice	40	M	M	M	M	
120224	120417	33:23.73	1	D051D5B6		Naughty	0	18	21	29	0	28	5	Ground	30	M	M	M	F	
120225	120262	33:23.75	1	7D332E06		Bashful	0	7	6	15	0	31	20	Fire	54	F	F	F	F	
120226	120265	33:23.76	1	FA08FC14		Calm	0	25	31	8	20	10	26	Fighting	56	F	F	F	F	
120227	120236	33:23.78	1	E5B72AAE		Adamant	0	23	18	11	31	0	9	Ghost	44	M	M	M	F	
120228	120263	33:23.80	1	BCC77D33		Careful	1	20	0	31	16	30	8	Fighting	52	F	M	F	F	
120229	120300	33:23.81	1	601BCAC0		Serious	0	19	25	24	4	1	7	Grass	35	M	M	M	M	
120230	120381	33:23.83	0	1C04E304		Impish	0	20	14	21	9	4	11	Ghost	36	F	F	F	F	
120231	120404	33:23.85	0	EC7C726B		Docile	1	14	17	29	10	22	26	Flying	66	F	M	M	F	
120232	120263	33:23.86	0	BCC77D33		Careful	1	20	0	31	16	30	8	Fighting	52	F	M	F	F	
120233	120264	33:23.88	2	FC14BCC7		Naughty	1	8	16	30	31	8	25	Bug	42	M	M	M	M	
120234	120387	33:23.90	0	905A9CF6		Lonely	0	16	28	17	6	5	22	Fire	45	M	M	M	M	
120235	120416	33:23.91	1	D5B6D4C8		Relaxed	0	17	2	20	21	29	18	Electric	36	M	M	M	M	
120236	120251	33:23.93	0	E66FB38A		Jolly	0	8	18	0	3	21	12	Electric	41	M	M	M	F	
120237	120256	33:23.95	0	4146CC8E		Lonely	0	19	0	21	15	18	12	Bug	61	M	M	M	F	
120238	120307	33:23.96	1	0BD02F6B		Adamant	1	19	0	3	29	10	1	Ghost	53	F	M	M	F	
120239	120288	33:23.98	0	ED70B88B		Quiet	1	30	0	10	8	31	16	Steel	53	M	M	M	F	
120240	120363	33:24.00	0	365D66BF		Modest	1	9	18	28	5	22	12	Rock	51	M	M	M	M	
120241	120246	33:24.01	0	E4703737		Modest	1	28	16	9	23	20	3	Ghost	45	F	M	F	F	
120242	120271	33:24.03	1	E6D23F0D		Docile	1	18	4	13	0	28	4	Fighting	30	F	F	F	F	
120243	120404	33:24.05	2	EC7C726B		Docile	1	14	17	29	10	22	26	Flying	66	F	M	M	F	
120244	120291	33:24.06	0	001D7D10		Timid	0	21	18	12	4	21	30	Steel	36	F	F	F	F	
120245	120266	33:24.08	2	A3F9FA08		Bold	0	26	20	10	5	8	20	Ground	33	F	F	F	F	
120246	120375	33:24.10	0	998A03D7		Quirky	1	12	20	12	28	14	20	Fighting	50	M	M	M	M	
120247	120340	33:24.11	2	C777A90C		Rash	0	4	4	4	20	6	19	Flying	55	F	F	F	F	
120248	120253	33:24.13	0	546C8248		Lax	0	5	16	25	4	19	14	Fire	55	F	M	M	F	
120249	120300	33:24.15	0	601BCAC0		Serious	0	19	25	24	4	1	7	Grass	35	M	M	M	M	
120250	120267	33:24.16	1	AA9AA3F9		Mild	1	20	5	8	1	27	5	Ice	50	M	M	M	M	
120251	120276	33:24.18	1	F7640401		Brave	1	31	11	9	13	27	7	Dark	57	F	F	F	F	
120252	120311	33:24.20	2	B70034C5		Serious	1	28	14	9	28	0	1	Poison	31	M	M	M	M	
120253	120312	33:24.21	1	25DCB700		Timid	0	1	28	0	20	18	2	Fighting	55	F	F	F	F	
